,region,value
1325,95247,2
1326,08544,0
1327,75211,1
1329,02081,0
1330,84119,2
1332,15057,0
1334,92805,2
1335,30215,0
1336,89118,2
1337,21223,0
1338,91311,2
1339,04401,0
1342,90404,2
1343,07601,0
1344,90715,2
1345,60647,1
1347,14228,0
1348,07960,0
1349,44114,0
1353,11221,0
1354,75056,1
1355,95207,2
1356,55360,1
1358,80010,2
1359,13140,0
1360,89123,2
1361,98225,2
1362,19106,0
1366,23220,0
1368,48034,0
1371,17740,0
1372,92067,2
1373,12550,0
1374,02135,0
1376,28469,0
1377,05676,0
1378,06410,0
1379,27104,0
1380,21201,0
1382,48134,0
1386,17036,0
1387,27410,0
1388,94941,2
1389,38115,0
1390,72712,1
1391,30260,0
1392,76248,1
1394,77041,1
1395,94014,2
1396,06234,0
1397,60061,1
1398,21047,0
1399,19468,0
1401,23225,0
1402,55347,1
1403,22182,0
1405,25823,0
1406,89117,2
1407,78154,1
1408,38117,0
1411,10013,0
1412,84660,2
1414,92069,2
1415,29302,0
1416,65810,1
1417,45044,0
1418,10033,0
1419,19130,0
1420,97202,2
1421,33127,0
1422,21230,0
1424,68136,1
1426,85013,2
1427,11249,0
1428,47403,0
1429,07020,0
1430,27513,0
1433,11218,0
1436,84043,2
1438,92630,2
1439,98053,2
1440,01851,0
1441,90504,2
1444,10002,0
1446,07092,0
1447,81507,2
1448,06830,0
1450,19713,0
1451,90034,2
1453,95616,2
1459,01890,0
1461,11691,0
1462,32257,0
1464,48101,0
1468,09613,0
1469,40205,0
1470,19142,0
1475,77049,1
1476,19701,0
1477,75803,1
1479,92563,2
1480,96815,2
1482,02151,0
1484,91914,2
1486,75754,1
1487,95121,2
1488,17057,0
1489,60402,1
1490,08105,0
1492,06443,0
1493,22101,0
1494,08540,0
1495,66049,1
1497,49643,0
1498,92557,2
1499,33071,0
1500,02903,0
1502,48329,0
1503,92126,2
1504,97003,2
1505,97006,2
1506,90280,2
1507,97527,2
1508,11554,0
1510,27712,0
1512,93635,2
1513,11355,0
1514,22030,0
1515,38016,0
1517,75028,1
1518,02072,0
1520,94110,2
1521,79938,1
1523,91607,2
1525,35476,0
1526,33160,0
1527,83301,2
1528,10044,0
1529,15222,0
1532,89044,2
1533,85323,2
1535,67207,1
1537,60172,1
1538,10032,0
1539,98374,2
1540,94401,2
1541,11772,0
1542,30621,0
1543,95210,2
1544,19075,0
1545,18042,0
1547,87501,2
1548,63132,1
1549,07065,0
1552,94601,2
1553,95823,2
1554,77459,1
1555,06610,0
1557,68787,1
1558,94130,2
1559,90249,2
1560,91604,2
1561,01801,0
1562,60804,1
1563,92866,2
1566,92647,2
1567,90703,2
1568,07974,0
1571,60560,1
1573,55405,1
1574,60510,1
1575,91761,2
1577,94403,2
1578,89502,2
1580,85705,2
1583,78205,1
1585,33198,0
1586,95573,2
1592,60621,1
1593,77085,1
1595,11776,0
1596,97201,2
1598,04046,0
1599,11365,0
1602,95630,2
1606,89128,2
1608,94583,2
1609,90048,2
1611,94706,2
1612,30319,0
1613,06804,0
1614,98057,2
1615,77023,1
1616,46816,0
1617,95835,2
1620,02790,0
1621,94542,2
1622,84721,2
1623,16066,0
1624,89149,2
1626,91731,2
1629,56301,1
1630,94133,2
1633,92084,2
1634,74012,1
1635,11211,0
1637,98438,2
1638,15074,0
1640,11501,0
1641,89436,2
1646,11223,0
1650,60649,1
1651,92081,2
1657,85297,2
1658,30141,0
1659,20616,0
1660,70072,1
1661,22801,0
1663,84014,2
1669,43224,0
1670,92122,2
1671,19808,0
1673,02368,0
1674,88220,2
1678,48881,0
1679,93010,2
1680,70458,1
1681,77015,1
1682,80209,2
1683,37303,0
1684,33332,0
1685,94043,2
1686,33904,0
1687,49690,0
1688,07073,0
1689,06854,0
1690,94107,2
1691,98106,2
1695,36748,0
1696,91702,2
1697,32817,0
1699,27606,0
1700,77087,1
1701,70816,1
1703,37748,0
1705,39056,0
1706,99163,2
1707,10466,0
1708,85388,2
1709,11791,0
1710,32773,0
1712,93955,2
1713,90808,2
1717,85022,2
1719,97266,2
1720,10302,0
1722,93065,2
1724,20008,0
1725,11432,0
1726,78739,1
1727,84341,2
1728,92844,2
1729,92399,2
1731,20187,0
1732,51105,1
1733,98290,2
1734,10920,0
1735,90066,2
1736,92109,2
1737,80487,2
1738,90005,2
1739,61874,1
1740,91746,2
1742,03461,0
1743,77066,1
1744,60148,1
1745,93277,2
1747,80014,2
1749,30005,0
1750,94087,2
1751,70003,1
1752,32750,0
1753,27514,0
1754,43206,0
1755,75840,1
1756,91741,2
1757,49004,0
1758,30094,0
1759,75217,1
1760,60031,1
1761,18045,0
1763,93534,2
1764,76018,1
1765,21146,0
1766,44311,0
1768,94608,2
1770,27403,0
1772,93560,2
1774,55430,1
1775,98126,2
1776,84321,2
1777,93215,2
1779,15801,0
1780,08057,0
1781,51031,1
1783,71270,1
1784,42048,0
1785,94596,2
1786,97225,2
1789,95833,2
1790,90810,2
1791,66209,1
1792,76502,1
1793,30052,0
1794,40299,0
1795,95991,2
1796,48825,0
1799,22205,0
1801,95405,2
1803,92143,2
1804,34685,0
1806,48381,0
1809,60459,1
1810,94607,2
1811,36513,0
1812,05454,0
1813,94585,2
1814,83706,2
1815,91201,2
1818,64116,1
1819,77040,1
1823,20016,0
1825,13501,0
1826,92880,2
1827,48025,0
1828,91335,2
1829,75149,1
1830,11214,0
1831,90038,2
1832,94103,2
1833,63090,1
1834,92011,2
1835,48126,0
1836,92782,2
1837,93401,2
1838,19021,0
1841,33328,0
1846,06461,0
1848,14075,0
1850,59901,1
1853,61764,1
1855,79761,1
1857,94127,2
1858,95240,2
1859,20147,0
1862,41017,0
1863,98230,2
1864,08816,0
1866,08722,0
1868,91755,2
1869,38655,0
1870,91206,2
1871,60438,1
1872,90241,2
1874,72034,1
1875,77498,1
1877,60625,1
1878,94553,2
1879,68046,1
1880,02139,0
1881,91361,2
1885,33073,0
1889,33063,0
1891,89131,2
1892,11722,0
1893,20001,0
1894,20189,0
1895,10465,0
1896,02445,0
1897,30338,0
1898,98104,2
1899,78109,1
1900,20735,0
1901,02121,0
1902,90815,2
1906,20180,0
1908,48178,0
1910,76002,1
1912,96218,2
1915,90023,2
1916,77845,1
1917,47725,0
1919,48093,0
1920,94123,2
1922,10704,0
1924,18612,0
1930,47172,0
1931,44805,0
1932,97070,2
1934,10110,0
1936,46037,0
1939,94015,2
1940,84025,2
1944,34639,0
1945,98072,2
1946,11377,0
1948,94005,2
1949,07205,0
1950,40216,0
1951,48320,0
1952,80219,2
1954,30263,0
1957,96782,2
1960,85296,2
1961,12804,0
1963,30324,0
1965,90501,2
1968,92610,2
1969,77388,1
1973,27105,0
1974,48098,0
1975,68144,1
1976,33015,0
1980,55077,1
1981,94605,2
1982,01069,0
1984,94024,2
1985,48238,0
1988,23153,0
1989,85014,2
1990,32835,0
1991,46229,0
1992,77099,1
1994,31605,0
1995,10594,0
1997,75160,1
1999,40272,0
2001,78374,1
2002,95134,2
2003,14059,0
2004,10462,0
2005,99403,2
2006,08052,0
2008,07452,0
2009,32776,0
2011,53704,1
2015,33070,0
2016,27560,0
2017,20036,0
2018,90638,2
2019,95363,2
2022,10031,0
2025,78704,1
2026,94506,2
2027,60517,1
2028,84037,2
2029,63128,1
2030,97220,2
2031,01749,0
2032,49783,0
2033,28134,0
2034,88005,2
2035,77042,1
2036,07017,0
2040,75219,1
2042,20855,0
2043,20910,0
2048,98188,2
2049,20912,0
2050,92627,2
2052,11003,0
2055,11411,0
2056,91910,2
2058,30318,0
2059,11580,0
2061,20854,0
2062,19526,0
2063,85045,2
2066,21027,0
2068,90272,2
2069,01520,0
2071,91950,2
2072,45365,0
2073,07031,0
2075,68142,1
2076,80920,2
2078,95008,2
2083,02169,0
2084,77057,1
2085,75147,1
2089,20851,0
2092,20007,0
2094,44129,0
2095,32220,0
2097,10543,0
2099,49093,0
2101,90732,2
2102,97470,2
2103,25414,0
2104,91101,2
2105,07920,0
2106,16501,0
2107,07657,0
2110,27713,0
2111,52228,1
2112,66045,1
2113,90807,2
2115,06520,0
2118,37221,0
2119,01301,0
2120,60618,1
2122,93257,2
2123,92614,2
2124,07041,0
2125,60642,1
2126,61822,1
2127,20850,0
2130,11224,0
2131,96362,2
2132,39170,0
2133,33884,0
2134,15085,0
2135,94703,2
2136,07632,0
2137,95864,2
2138,46703,0
2139,10014,0
2140,10036,0
2146,06112,0
2147,01507,0
2149,77346,1
2150,27919,0
2152,02458,0
2154,41048,0
2155,53132,1
2157,10037,0
2158,29303,0
2159,46060,0
2160,21214,0
2161,11367,0
2163,26003,0
2164,80602,2
2165,03257,0
2166,37403,0
2167,90036,2
2170,76354,1
2174,07027,0
2177,55436,1
2178,70592,1
2179,11560,0
2182,33974,0
2183,72137,1
2184,75019,1
2186,84092,2
2188,95758,2
2189,47906,0
2193,07661,0
2199,75068,1
2202,75054,1
2203,77006,1
2204,33496,0
2205,75094,1
2207,07008,0
2210,34744,0
2211,77036,1
2212,16507,0
2216,60513,1
2217,94086,2
2219,30344,0
2220,02645,0
2221,76311,1
2223,08033,0
2224,29360,0
2225,91776,2
2226,97520,2
2228,91739,2
2229,28164,0
2231,90270,2
2232,19149,0
2233,07302,0
2234,94558,2
2235,57350,1
2237,25701,0
2238,10954,0
2241,77904,1
2243,34957,0
2244,06457,0
2245,50023,1
2247,11105,0
2249,29847,0
2250,01519,0
2252,98033,2
2254,18104,0
2256,34688,0
2257,32708,0
2258,02332,0
2259,90064,2
2260,45240,0
2261,91403,2
2262,75082,1
2263,20006,0
2264,11001,0
2267,44028,0
2268,22305,0
2270,68154,1
2271,98007,2
2272,37363,0
2274,80301,2
2275,28104,0
2277,38506,0
2278,19004,0
2280,06902,0
2281,38138,0
2284,05401,0
2285,94027,2
2290,01930,0
2291,92404,2
2296,77479,1
