SKU_1,SKU_2,#-Containing Orders
11054051,11054112,46
11060132,11060133,46
11111051,11111052,46
11231927,11423411,46
11917831,11919273,46
11919394,11922352,46
11922323,11922852,46
11922324,12693989,46
11922351,12317988,46
11924334,12183001,46
11948519,11948520,46
11948519,11961988,46
12042326,12044639,46
12097332,12190105,46
12182863,12182865,46
9891856,11079165,45
9891857,11079165,45
9891859,10433698,45
11054051,12175296,45
11231928,11231933,45
11713855,12161797,45
11917831,11919395,45
11922322,12694157,45
9891853,11079164,44
9891859,11079164,44
10024593,10340029,44
10191829,10191831,44
11047548,11924334,44
11047549,11111052,44
11054052,12145755,44
11060131,11922877,44
11901718,12171751,44
11916751,11922878,44
11916751,11948521,44
11916758,11921676,44
11922351,11922877,44
11922352,12317989,44
11922368,12180823,44
11922877,11948519,44
11922878,11953620,44
12044640,12275415,44
4267454,10340028,43
9891856,11911686,43
9891859,11079163,43
11047548,11919393,43
11047548,12161798,43
11713857,11713859,43
11916750,11922309,43
11916750,12693981,43
11916758,11922345,43
11919394,11924335,43
11922316,12203030,43
11922323,11922879,43
11922323,12693988,43
11922877,11953619,43
11948343,12158051,43
12057607,12203037,43
9891854,10433695,42
10024580,10340067,42
10281744,10281746,42
10327695,10327696,42
11047551,11897183,42
11047551,12008943,42
11054111,11922878,42
11111051,12187140,42
11916750,11953620,42
11924335,12209091,42
11948342,12158050,42
12044640,12276087,42
12057607,12099609,42
9891853,10433697,41
9891857,10433697,41
10340028,12042325,41
11047547,11047589,41
11047548,11291985,41
11047548,11580745,41
11054112,11060132,41
11054112,11519293,41
11054114,12619219,41
11111051,11912480,41
11231935,11423419,41
11901718,11916750,41
11916751,12694145,41
11916763,11922357,41
11919629,11919632,41
11922368,12203077,41
4267454,10340029,40
9891854,11079165,40
11054111,11546037,40
11054113,12145756,40
11111051,11924334,40
11129976,11922878,40
11917831,11919268,40
11922323,12203030,40
11922324,12203031,40
11922369,12180824,40
11922369,12203078,40
11922878,12042325,40
11924334,12282272,40
9791880,9891856,39
9791900,9791901,39
9891854,10191830,39
9891855,11079165,39
9891859,10433699,39
9908178,11057995,39
10024580,10340068,39
11047547,11291986,39
11047548,11291987,39
11054051,11054053,39
11054052,11054113,39
11054114,11948522,39
11054114,12145757,39
11079162,11079165,39
11916749,12203029,39
11917830,12008940,39
11922323,11922877,39
11922323,12694171,39
11922350,12203071,39
11922879,12693982,39
12042325,12044638,39
12044638,12044639,39
12044638,12503094,39
12053638,12053659,39
12057607,12694158,39
12182863,12182874,39
9891856,10433695,38
10340028,12275463,38
11047547,11919272,38
11047547,12162666,38
11047549,11291986,38
11047549,12008940,38
11047551,11291989,38
11054112,11546038,38
11060132,11916750,38
11231928,11423412,38
11713856,11800279,38
11916750,12694158,38
11916751,11922323,38
11916757,11921675,38
11916758,11916760,38
11922322,12203029,38
11922878,11948343,38
4267454,12042325,37
9791879,9891857,37
10024593,10340067,37
10281745,11922878,37
10281746,10724076,37
11047549,11919394,37
11054051,11054054,37
11054051,11519294,37
11054111,11060131,37
11054113,11919631,37
11060131,11060134,37
11111051,12187182,37
11713855,11713856,37
11713856,11919394,37
11713857,11800280,37
11713857,11919739,37
11916749,12203022,37
11916751,11921641,37
11916751,11922310,37
11922354,11922879,37
11948342,11948522,37
11948342,12505654,37
4317988,4317989,36
9891854,11911684,36
9891856,11911688,36
11047548,12008941,36
11047549,11919268,36
11047549,12174717,36
11047551,11580747,36
11047551,11917833,36
