SKU,Sum,Degrees,DIVISION
11546037,900,2,APP/FTW
11919769,542,1,APP/FTW
12694012,458,2,APP/FTW
12693981,481,3,APP/FTW
12203089,451,1,APP/FTW
12203044,312,2,APP/FTW
12044749,934,2,HDW
11916753,1194,1,APP/FTW
11917833,1011,2,APP/FTW
12044747,1251,2,HDW
11131801,198,1,APP/FTW
11922853,528,2,APP/FTW
10340067,1213,4,HDW
11131802,248,1,APP/FTW
11921105,601,1,APP/FTW
12694145,536,3,APP/FTW
12275416,670,2,HDW
12201396,455,1,APP/FTW
11921107,606,1,APP/FTW
11922864,242,1,APP/FTW
11922372,499,2,APP/FTW
12694143,334,2,APP/FTW
12158051,172,2,APP/FTW
12276197,716,1,HDW
11919738,1451,3,APP/FTW
12175296,573,2,APP/FTW
11921640,801,1,APP/FTW
12694000,361,2,APP/FTW
11919272,855,3,APP/FTW
12097019,1011,1,APP/FTW
12694157,465,3,APP/FTW
11924337,861,1,APP/FTW
12438611,373,1,APP/FTW
12438612,385,1,APP/FTW
11919267,860,2,APP/FTW
11800280,1297,2,APP/FTW
11060133,1383,1,APP/FTW
11111052,1619,3,APP/FTW
11423411,837,1,APP/FTW
12693989,288,2,APP/FTW
12317988,535,1,APP/FTW
11961988,714,4,APP/FTW
12190105,846,2,APP/FTW
12161797,256,2,APP/FTW
10191831,1186,1,APP/FTW
12145755,622,2,APP/FTW
12171751,928,3,APP/FTW
11921676,700,1,APP/FTW
12317989,796,2,APP/FTW
12180823,906,1,APP/FTW
12275415,1002,2,HDW
11911686,680,4,APP/FTW
11922309,617,1,APP/FTW
11922345,985,1,APP/FTW
12693988,410,1,APP/FTW
11953619,1100,2,APP/FTW
10327696,2912,1,APP/FTW
11897183,478,2,APP/FTW
12008943,540,2,APP/FTW
12187140,150,1,APP/FTW
12158050,169,2,APP/FTW
11047589,708,1,APP/FTW
12619219,354,1,APP/FTW
11912480,1450,3,APP/FTW
11423419,730,1,APP/FTW
11922357,655,1,APP/FTW
12203077,319,1,APP/FTW
12145756,462,1,APP/FTW
11919268,770,2,APP/FTW
12180824,804,1,APP/FTW
12203078,359,2,APP/FTW
12282272,388,1,APP/FTW
9791901,1445,3,APP/FTW
11057995,304,5,APP/FTW
10340068,854,1,HDW
11948522,1392,4,APP/FTW
12145757,405,1,APP/FTW
12694171,330,2,APP/FTW
12203071,440,1,APP/FTW
12693982,308,3,APP/FTW
12503094,1042,2,HDW
12053659,663,1,APP/FTW
12182874,497,1,APP/FTW
12162666,290,1,APP/FTW
11291989,611,2,APP/FTW
11546038,1048,2,APP/FTW
11423412,680,1,APP/FTW
11800279,1225,2,APP/FTW
11921675,559,1,APP/FTW
11916760,1180,1,APP/FTW
10724076,691,1,APP/FTW
11054054,1522,1,APP/FTW
11060134,884,2,APP/FTW
12187182,137,1,APP/FTW
11921641,584,1,APP/FTW
11922310,480,1,APP/FTW
12505654,403,1,APP/FTW
4317989,1142,1,APP/FTW
11911684,566,3,APP/FTW
11911688,900,6,APP/FTW
12174717,798,1,APP/FTW
11580747,527,1,APP/FTW
11919276,659,2,APP/FTW
11922851,349,2,APP/FTW
12694011,247,1,APP/FTW
12203045,221,1,APP/FTW
12097335,662,2,APP/FTW
12438616,449,1,APP/FTW
11911687,556,5,APP/FTW
11362589,741,1,HDW
12162670,261,1,APP/FTW
11951969,219,2,APP/FTW
11921113,625,1,APP/FTW
11948344,1111,4,APP/FTW
11948345,1155,2,APP/FTW
12499304,672,5,APP/FTW
11961989,675,4,APP/FTW
12275688,660,1,HDW
12512580,490,1,HDW
11653048,130,1,APP/FTW
11920760,512,1,APP/FTW
11863546,364,1,APP/FTW
12168966,187,1,APP/FTW
11951978,281,1,APP/FTW
11536749,87,1,APP/FTW
11231929,1497,1,APP/FTW
12162289,604,2,APP/FTW
12543312,925,2,APP/FTW
10191832,1191,2,APP/FTW
12174716,744,1,APP/FTW
12184441,514,1,APP/FTW
11047593,345,1,APP/FTW
11904969,341,1,APP/FTW
12187126,131,1,APP/FTW
12423702,1000,1,HDW
12053637,1039,1,APP/FTW
12666320,407,1,APP/FTW
11404967,493,4,APP/FTW
10441176,343,5,APP/FTW
10207152,627,1,APP/FTW
12543311,953,1,APP/FTW
12175297,657,2,APP/FTW
11951970,247,2,APP/FTW
12203392,285,1,APP/FTW
11922344,664,1,APP/FTW
11921114,608,1,APP/FTW
