,SKU_1,SKU_2,#-Containing Orders,#-Completing Orders
159,9713295,11460424,1,0.0
160,9713295,11519294,1,0.0
161,9713295,11519295,1,0.0
162,9713295,11520743,1,0.0
163,9713295,11529668,1,0.0
164,9713295,11554736,1,0.0
165,9713295,11558134,1,0.0
166,9713295,11558325,1,0.0
167,9713295,11558334,1,0.0
168,9713295,11561373,1,0.0
169,9713295,11561374,1,0.0
170,9713295,11564344,1,0.0
171,9713295,11567489,1,0.0
172,9713295,11567490,1,0.0
173,9713295,11570063,1,0.0
174,9713295,11574571,1,0.0
175,9891853,3991242,1,0.0
176,9891853,3991244,1,0.0
177,9891853,4213600,1,0.0
178,9891853,4213602,2,0.0
179,9891853,4317985,1,0.0
180,9891853,4317986,1,0.0
181,9891853,4317987,1,0.0
182,9891853,4317988,1,0.0
183,9891853,8699790,1,0.0
184,9891853,9791758,1,0.0
185,9891853,9791760,1,0.0
186,9891853,9791776,1,0.0
187,9891853,9791777,1,0.0
188,9891853,9791778,2,0.0
189,9891853,9791860,8,0.0
190,9891853,9791861,8,0.0
191,9891853,9791862,8,0.0
192,9891853,9791863,1,0.0
193,9891853,9791864,3,0.0
194,9891853,9791872,1,0.0
195,9891853,9791873,1,0.0
196,9891853,9791874,5,0.0
197,9891853,9791875,26,0.0
198,9891853,9791876,30,0.0
199,9891853,9791877,7,0.0
200,9891853,9791878,13,0.0
201,9891853,9791879,35,0.0
202,9891853,9791880,24,0.0
203,9891853,9791881,1,0.0
204,9891853,9791890,1,0.0
205,9891853,9791893,1,0.0
206,9891853,9791895,1,0.0
207,9891853,9791896,3,0.0
208,9891853,9791897,5,0.0
209,9891853,9791898,14,0.0
210,9891853,9791899,12,0.0
211,9891853,9791900,7,0.0
212,9891853,9791901,5,0.0
213,9891853,9791903,1,0.0
214,9891853,9791920,3,0.0
215,9891853,9791921,1,0.0
216,9891853,9891854,1880,888.0
217,9891853,9891855,1501,647.0
218,9891853,9891856,1102,328.0
219,9891853,9891857,808,274.0
220,9891853,9891858,269,0.0
221,9891853,9891859,444,0.0
222,9891853,9891860,1,0.0
223,9891853,9891897,13,0.0
224,9891853,9891898,2,0.0
225,9891853,9891901,2,0.0
226,9891853,9891902,4,0.0
227,9891853,9891903,1,0.0
228,9891853,9891905,1,0.0
229,9891853,9891906,3,0.0
230,9891853,9891907,3,0.0
231,9891853,9891908,4,0.0
232,9891853,10187985,1,0.0
233,9891853,10191829,29,0.0
234,9891853,10191830,13,0.0
235,9891853,10191831,8,0.0
236,9891853,10191832,18,0.0
237,9891853,10191833,11,0.0
238,9891853,10191834,5,0.0
239,9891853,10191835,3,0.0
240,9891853,10251892,1,0.0
241,9891853,10251893,1,0.0
242,9891853,10251905,3,0.0
243,9891853,10266478,1,0.0
244,9891853,10266482,1,0.0
245,9891853,10266484,1,0.0
246,9891853,10266486,1,0.0
247,9891853,10266487,1,0.0
248,9891853,10267354,2,0.0
249,9891853,10267358,1,0.0
250,9891853,10267359,4,0.0
251,9891853,10267360,5,0.0
252,9891853,10267361,1,0.0
253,9891853,10267362,2,0.0
254,9891853,10267363,2,0.0
255,9891853,10267369,2,0.0
256,9891853,10267370,1,0.0
257,9891853,10267379,1,0.0
258,9891853,10267380,3,0.0
259,9891853,10267393,1,0.0
260,9891853,10267394,6,0.0
261,9891853,10268234,2,0.0
262,9891853,10268249,4,0.0
263,9891853,10268250,1,0.0
264,9891853,10268251,8,0.0
265,9891853,10268252,1,0.0
266,9891853,10268253,2,0.0
267,9891853,10268254,3,0.0
268,9891853,10268255,2,0.0
269,9891853,10268256,2,0.0
270,9891853,10268257,2,0.0
271,9891853,10268258,5,0.0
272,9891853,10268259,3,0.0
273,9891853,10268260,5,0.0
274,9891853,10280505,2,0.0
275,9891853,10280506,1,0.0
276,9891853,10280511,1,0.0
277,9891853,10280515,2,0.0
278,9891853,10280516,10,0.0
279,9891853,10327688,1,0.0
280,9891853,10327690,1,0.0
281,9891853,10327691,1,0.0
282,9891853,10327692,2,0.0
283,9891853,10327707,1,0.0
284,9891853,10432502,1,0.0
285,9891853,10432505,1,0.0
286,9891853,10432506,2,0.0
287,9891853,10432507,7,0.0
288,9891853,10432508,10,0.0
289,9891853,10432509,10,0.0
290,9891853,10432510,5,0.0
291,9891853,10432511,7,0.0
292,9891853,10432512,10,0.0
293,9891853,10432513,8,0.0
294,9891853,10432514,6,0.0
295,9891853,10433695,52,0.0
296,9891853,10433696,98,0.0
297,9891853,10433697,41,0.0
298,9891853,10433698,118,0.0
299,9891853,10433699,78,0.0
300,9891853,10433700,54,0.0
301,9891853,10433701,33,0.0
302,9891853,10490893,1,0.0
303,9891853,10587132,2,0.0
304,9891853,10587133,1,0.0
305,9891853,10587134,2,0.0
306,9891853,10587135,4,0.0
307,9891853,10661486,1,0.0
308,9891853,10661488,1,0.0
309,9891853,10661490,4,0.0
310,9891853,10661491,2,0.0
311,9891853,10663666,1,0.0
312,9891853,10663670,1,0.0
313,9891853,10663671,1,0.0
314,9891853,10663672,1,0.0
315,9891853,10663685,2,0.0
316,9891853,10707460,1,0.0
317,9891853,10707463,1,0.0
318,9891853,10707464,1,0.0
319,9891853,10715499,1,0.0
320,9891853,10920864,1,0.0
321,9891853,10920865,1,0.0
322,9891853,10992179,1,0.0
323,9891853,10998044,1,0.0
324,9891853,10998045,3,0.0
325,9891853,10998729,1,0.0
326,9891853,10999550,1,0.0
327,9891853,10999555,1,0.0
328,9891853,11079159,90,0.0
329,9891853,11079160,87,0.0
